#,Pattern,Problem,Diff,Time Budget,Link,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
18,Binary Search,Search in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-target-in-rotated-sorted-array,,,,,
19,Linked List,Reverse Linked List,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-a-linked-list,,,,,
20,Linked List,Merge Two Sorted Lists,Easy,~45min first / ~5min review,https://neetcode.io/problems/merge-two-sorted-linked-lists,,,,,
21,Linked List,Linked List Cycle,Easy,~45min first / ~5min review,https://neetcode.io/problems/linked-list-cycle-detection,,,,,
22,Linked List,Reorder List,Medium,~60min first / ~8min review,https://neetcode.io/problems/reorder-linked-list,,,,,
23,Linked List,Remove Nth Node from End of List,Medium,~60min first / ~8min review,https://neetcode.io/problems/remove-node-from-end-of-linked-list,,,,,
24,Linked List,Merge K Sorted Lists,Hard,~75min first / ~12min review,https://neetcode.io/problems/merge-k-sorted-linked-lists,,,,,
25,Trees,Invert Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/invert-a-binary-tree,,,,,
26,Trees,Maximum Depth of Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/depth-of-binary-tree,,,,,
27,Trees,Same Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/same-binary-tree,,,,,
28,Trees,Subtree of Another Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/subtree-of-a-binary-tree,,,,,
29,Trees,Lowest Common Ancestor of a Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,,,,,
30,Trees,Binary Tree Level Order Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/level-order-traversal-of-binary-tree,,,,,
31,Trees,Validate Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-binary-search-tree,,,,,
32,Trees,Kth Smallest Element in a BST,Medium,~60min first / ~8min review,https://neetcode.io/problems/kth-smallest-integer-in-bst,,,,,
33,Trees,Construct Binary Tree from Preorder and Inorder Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,,,,,
34,Trees,Binary Tree Maximum Path Sum,Hard,~75min first / ~12min review,https://neetcode.io/problems/binary-tree-maximum-path-sum,,,,,
35,Trees,Serialize and Deserialize Binary Tree,Hard,~75min first / ~12min review,https://neetcode.io/problems/serialize-and-deserialize-binary-tree,,,,,
36,Heap / Priority Queue,Find Median from Data Stream,Hard,~75min first / ~12min review,https://neetcode.io/problems/find-median-in-a-data-stream,,,,,
37,Backtracking,Combination Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-target-sum,,,,,
38,Backtracking,Word Search,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-for-word,,,,,
39,Tries,Implement Trie Prefix Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/implement-prefix-tree,,,,,
40,Tries,Design Add and Search Words Data Structure,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-word-search-data-structure,,,,,
41,Tries,Word Search II,Hard,~75min first / ~12min review,https://neetcode.io/problems/search-for-word-ii,,,,,
42,Graphs,Number of Islands,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-number-of-islands,,,,,
43,Graphs,Clone Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/clone-graph,,,,,
44,Graphs,Pacific Atlantic Water Flow,Medium,~60min first / ~8min review,https://neetcode.io/problems/pacific-atlantic-water-flow,,,,,
45,Graphs,Course Schedule,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule,,,,,
46,Graphs,Graph Valid Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-tree,,,,,
47,Graphs,Number of Connected Components in an Undirected Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-connected-components,,,,,
48,Advanced Graphs,Alien Dictionary,Hard,~75min first / ~12min review,https://neetcode.io/problems/foreign-dictionary,,,,,
49,1-D Dynamic Programming,Climbing Stairs,Easy,~45min first / ~5min review,https://neetcode.io/problems/climbing-stairs,,,,,
50,1-D Dynamic Programming,House Robber,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber,,,,,
51,1-D Dynamic Programming,House Robber II,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber-ii,,,,,
52,1-D Dynamic Programming,Longest Palindromic Substring,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-palindromic-substring,,,,,
53,1-D Dynamic Programming,Palindromic Substrings,Medium,~60min first / ~8min review,https://neetcode.io/problems/palindromic-substrings,,,,,
54,1-D Dynamic Programming,Decode Ways,Medium,~60min first / ~8min review,https://neetcode.io/problems/decode-ways,,,,,
55,1-D Dynamic Programming,Coin Change,Medium,~60min first / ~8min review,https://neetcode.io/problems/coin-change,,,,,
56,1-D Dynamic Programming,Maximum Product Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-product-subarray,,,,,
57,1-D Dynamic Programming,Word Break,Medium,~60min first / ~8min review,https://neetcode.io/problems/word-break,,,,,
58,1-D Dynamic Programming,Longest Increasing Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-increasing-subsequence,,,,,
59,2-D Dynamic Programming,Unique Paths,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-paths,,,,,
60,2-D Dynamic Programming,Longest Common Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-common-subsequence,,,,,
61,Greedy,Maximum Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-subarray,,,,,
62,Greedy,Jump Game,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game,,,,,
63,Intervals,Insert Interval,Medium,~60min first / ~8min review,https://neetcode.io/problems/insert-new-interval,,,,,
64,Intervals,Merge Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/merge-intervals,,,,,
65,Intervals,Non Overlapping Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/non-overlapping-intervals,,,,,
66,Intervals,Meeting Rooms,Easy,~45min first / ~5min review,https://neetcode.io/problems/meeting-schedule,,,,,
67,Intervals,Meeting Rooms II,Medium,~60min first / ~8min review,https://neetcode.io/problems/meeting-schedule-ii,,,,,
68,Math & Geometry,Rotate Image,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotate-matrix,,,,,
69,Math & Geometry,Spiral Matrix,Medium,~60min first / ~8min review,https://neetcode.io/problems/spiral-matrix,,,,,
70,Math & Geometry,Set Matrix Zeroes,Medium,~60min first / ~8min review,https://neetcode.io/problems/set-zeroes-in-matrix,,,,,
71,Bit Manipulation,Number of 1 Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/number-of-one-bits,,,,,
72,Bit Manipulation,Counting Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/counting-bits,,,,,
73,Bit Manipulation,Reverse Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-bits,,,,,
74,Bit Manipulation,Missing Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/missing-number,,,,,
75,Bit Manipulation,Sum of Two Integers,Medium,~60min first / ~8min review,https://neetcode.io/problems/sum-of-two-integers,,,,,
