#,Pattern,Problem,Diff,Time Budget,Link,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
23,Two Pointers,Reverse String,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-string,,,,,
24,Two Pointers,Valid Palindrome,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-palindrome,,,,,
25,Two Pointers,Valid Palindrome II,Easy,~45min first / ~5min review,https://neetcode.io/problems/valid-palindrome-ii,,,,,
26,Two Pointers,Merge Strings Alternately,Easy,~45min first / ~5min review,https://neetcode.io/problems/merge-strings-alternately,,,,,
27,Two Pointers,Merge Sorted Array,Easy,~45min first / ~5min review,https://neetcode.io/problems/merge-sorted-array,,,,,
28,Two Pointers,Remove Duplicates from Sorted Array,Easy,~45min first / ~5min review,https://neetcode.io/problems/remove-duplicates-from-sorted-array,,,,,
29,Two Pointers,Two Sum II Input Array Is Sorted,Medium,~60min first / ~8min review,https://neetcode.io/problems/two-integer-sum-ii,,,,,
30,Two Pointers,3Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/three-integer-sum,,,,,
31,Two Pointers,4Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/4sum,,,,,
32,Two Pointers,Rotate Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotate-array,,,,,
33,Two Pointers,Container with Most Water,Medium,~60min first / ~8min review,https://neetcode.io/problems/max-water-container,,,,,
34,Two Pointers,Boats to Save People,Medium,~60min first / ~8min review,https://neetcode.io/problems/boats-to-save-people,,,,,
35,Two Pointers,Trapping Rain Water,Hard,~75min first / ~12min review,https://neetcode.io/problems/trapping-rain-water,,,,,
36,Sliding Window,Contains Duplicate II,Easy,~45min first / ~5min review,https://neetcode.io/problems/contains-duplicate-ii,,,,,
37,Sliding Window,Best Time to Buy and Sell Stock,Easy,~45min first / ~5min review,https://neetcode.io/problems/buy-and-sell-crypto,,,,,
38,Sliding Window,Longest Substring without Repeating Characters,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-substring-without-duplicates,,,,,
39,Sliding Window,Longest Repeating Character Replacement,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-repeating-substring-with-replacement,,,,,
40,Sliding Window,Permutation in String,Medium,~60min first / ~8min review,https://neetcode.io/problems/permutation-string,,,,,
41,Sliding Window,Minimum Size Subarray Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-size-subarray-sum,,,,,
42,Sliding Window,Find K Closest Elements,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-k-closest-elements,,,,,
43,Sliding Window,Minimum Window Substring,Hard,~75min first / ~12min review,https://neetcode.io/problems/minimum-window-with-characters,,,,,
44,Sliding Window,Sliding Window Maximum,Hard,~75min first / ~12min review,https://neetcode.io/problems/sliding-window-maximum,,,,,
45,Stack,Baseball Game,Easy,~45min first / ~5min review,https://neetcode.io/problems/baseball-game,,,,,
46,Stack,Valid Parentheses,Easy,~45min first / ~5min review,https://neetcode.io/problems/validate-parentheses,,,,,
47,Stack,Implement Stack Using Queues,Easy,~45min first / ~5min review,https://neetcode.io/problems/implement-stack-using-queues,,,,,
48,Stack,Implement Queue using Stacks,Easy,~45min first / ~5min review,https://neetcode.io/problems/implement-queue-using-stacks,,,,,
49,Stack,Min Stack,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-stack,,,,,
50,Stack,Evaluate Reverse Polish Notation,Medium,~60min first / ~8min review,https://neetcode.io/problems/evaluate-reverse-polish-notation,,,,,
51,Stack,Generate Parentheses,Medium,~60min first / ~8min review,https://neetcode.io/problems/generate-parentheses,,,,,
52,Stack,Asteroid Collision,Medium,~60min first / ~8min review,https://neetcode.io/problems/asteroid-collision,,,,,
53,Stack,Daily Temperatures,Medium,~60min first / ~8min review,https://neetcode.io/problems/daily-temperatures,,,,,
54,Stack,Online Stock Span,Medium,~60min first / ~8min review,https://neetcode.io/problems/online-stock-span,,,,,
55,Stack,Car Fleet,Medium,~60min first / ~8min review,https://neetcode.io/problems/car-fleet,,,,,
56,Stack,Simplify Path,Medium,~60min first / ~8min review,https://neetcode.io/problems/simplify-path,,,,,
57,Stack,Decode String,Medium,~60min first / ~8min review,https://neetcode.io/problems/decode-string,,,,,
58,Stack,Maximum Frequency Stack,Hard,~75min first / ~12min review,https://neetcode.io/problems/maximum-frequency-stack,,,,,
59,Stack,Largest Rectangle in Histogram,Hard,~75min first / ~12min review,https://neetcode.io/problems/largest-rectangle-in-histogram,,,,,
60,Binary Search,Binary Search,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-search,,,,,
61,Binary Search,Search Insert Position,Easy,~45min first / ~5min review,https://neetcode.io/problems/search-insert-position,,,,,
62,Binary Search,Guess Number Higher or Lower,Easy,~45min first / ~5min review,https://neetcode.io/problems/guess-number-higher-or-lower,,,,,
63,Binary Search,Sqrt(x),Easy,~45min first / ~5min review,https://neetcode.io/problems/sqrtx,,,,,
64,Binary Search,Search a 2D Matrix,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-2d-matrix,,,,,
65,Binary Search,Koko Eating Bananas,Medium,~60min first / ~8min review,https://neetcode.io/problems/eating-bananas,,,,,
66,Binary Search,Capacity to Ship Packages Within D Days,Medium,~60min first / ~8min review,https://neetcode.io/problems/capacity-to-ship-packages-within-d-days,,,,,
67,Binary Search,Find Minimum in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,,,,,
68,Binary Search,Search in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-target-in-rotated-sorted-array,,,,,
69,Binary Search,Search in Rotated Sorted Array II,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-in-rotated-sorted-array-ii,,,,,
70,Binary Search,Time Based Key Value Store,Medium,~60min first / ~8min review,https://neetcode.io/problems/time-based-key-value-store,,,,,
71,Binary Search,Split Array Largest Sum,Hard,~75min first / ~12min review,https://neetcode.io/problems/split-array-largest-sum,,,,,
72,Binary Search,Median of Two Sorted Arrays,Hard,~75min first / ~12min review,https://neetcode.io/problems/median-of-two-sorted-arrays,,,,,
73,Binary Search,Find in Mountain Array,Hard,~75min first / ~12min review,https://neetcode.io/problems/find-in-mountain-array,,,,,
74,Linked List,Reverse Linked List,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-a-linked-list,,,,,
75,Linked List,Merge Two Sorted Lists,Easy,~45min first / ~5min review,https://neetcode.io/problems/merge-two-sorted-linked-lists,,,,,
76,Linked List,Linked List Cycle,Easy,~45min first / ~5min review,https://neetcode.io/problems/linked-list-cycle-detection,,,,,
77,Linked List,Reorder List,Medium,~60min first / ~8min review,https://neetcode.io/problems/reorder-linked-list,,,,,
78,Linked List,Remove Nth Node from End of List,Medium,~60min first / ~8min review,https://neetcode.io/problems/remove-node-from-end-of-linked-list,,,,,
79,Linked List,Copy List with Random Pointer,Medium,~60min first / ~8min review,https://neetcode.io/problems/copy-linked-list-with-random-pointer,,,,,
80,Linked List,Add Two Numbers,Medium,~60min first / ~8min review,https://neetcode.io/problems/add-two-numbers,,,,,
81,Linked List,Find the Duplicate Number,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-duplicate-integer,,,,,
82,Linked List,Reverse Linked List II,Medium,~60min first / ~8min review,https://neetcode.io/problems/reverse-linked-list-ii,,,,,
83,Linked List,Design Circular Queue,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-circular-queue,,,,,
84,Linked List,LRU Cache,Medium,~60min first / ~8min review,https://neetcode.io/problems/lru-cache,,,,,
85,Linked List,LFU Cache,Hard,~75min first / ~12min review,https://neetcode.io/problems/lfu-cache,,,,,
86,Linked List,Merge K Sorted Lists,Hard,~75min first / ~12min review,https://neetcode.io/problems/merge-k-sorted-linked-lists,,,,,
87,Linked List,Reverse Nodes in K Group,Hard,~75min first / ~12min review,https://neetcode.io/problems/reverse-nodes-in-k-group,,,,,
88,Trees,Binary Tree Inorder Traversal,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-tree-inorder-traversal,,,,,
89,Trees,Binary Tree Preorder Traversal,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-tree-preorder-traversal,,,,,
90,Trees,Binary Tree Postorder Traversal,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-tree-postorder-traversal,,,,,
91,Trees,Invert Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/invert-a-binary-tree,,,,,
92,Trees,Maximum Depth of Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/depth-of-binary-tree,,,,,
93,Trees,Diameter of Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-tree-diameter,,,,,
94,Trees,Balanced Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/balanced-binary-tree,,,,,
95,Trees,Same Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/same-binary-tree,,,,,
96,Trees,Subtree of Another Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/subtree-of-a-binary-tree,,,,,
97,Trees,Lowest Common Ancestor of a Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,,,,,
98,Trees,Insert into a Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/insert-into-a-binary-search-tree,,,,,
99,Trees,Delete Node in a BST,Medium,~60min first / ~8min review,https://neetcode.io/problems/delete-node-in-a-bst,,,,,
100,Trees,Binary Tree Level Order Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/level-order-traversal-of-binary-tree,,,,,
101,Trees,Binary Tree Right Side View,Medium,~60min first / ~8min review,https://neetcode.io/problems/binary-tree-right-side-view,,,,,
102,Trees,Construct Quad Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/construct-quad-tree,,,,,
103,Trees,Count Good Nodes in Binary Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-good-nodes-in-binary-tree,,,,,
104,Trees,Validate Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-binary-search-tree,,,,,
105,Trees,Kth Smallest Element in a BST,Medium,~60min first / ~8min review,https://neetcode.io/problems/kth-smallest-integer-in-bst,,,,,
106,Trees,Construct Binary Tree from Preorder and Inorder Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,,,,,
107,Trees,House Robber III,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber-iii,,,,,
108,Trees,Delete Leaves with a Given Value,Medium,~60min first / ~8min review,https://neetcode.io/problems/delete-leaves-with-a-given-value,,,,,
109,Trees,Binary Tree Maximum Path Sum,Hard,~75min first / ~12min review,https://neetcode.io/problems/binary-tree-maximum-path-sum,,,,,
110,Trees,Serialize and Deserialize Binary Tree,Hard,~75min first / ~12min review,https://neetcode.io/problems/serialize-and-deserialize-binary-tree,,,,,
111,Heap / Priority Queue,Kth Largest Element in a Stream,Easy,~45min first / ~5min review,https://neetcode.io/problems/kth-largest-integer-in-a-stream,,,,,
112,Heap / Priority Queue,Last Stone Weight,Easy,~45min first / ~5min review,https://neetcode.io/problems/last-stone-weight,,,,,
113,Heap / Priority Queue,K Closest Points to Origin,Medium,~60min first / ~8min review,https://neetcode.io/problems/k-closest-points-to-origin,,,,,
114,Heap / Priority Queue,Kth Largest Element in an Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/kth-largest-element-in-an-array,,,,,
115,Heap / Priority Queue,Task Scheduler,Medium,~60min first / ~8min review,https://neetcode.io/problems/task-scheduling,,,,,
116,Heap / Priority Queue,Design Twitter,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-twitter-feed,,,,,
117,Heap / Priority Queue,Single Threaded CPU,Medium,~60min first / ~8min review,https://neetcode.io/problems/single-threaded-cpu,,,,,
118,Heap / Priority Queue,Reorganize String,Medium,~60min first / ~8min review,https://neetcode.io/problems/reorganize-string,,,,,
119,Heap / Priority Queue,Longest Happy String,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-happy-string,,,,,
120,Heap / Priority Queue,Car Pooling,Medium,~60min first / ~8min review,https://neetcode.io/problems/car-pooling,,,,,
121,Heap / Priority Queue,Find Median from Data Stream,Hard,~75min first / ~12min review,https://neetcode.io/problems/find-median-in-a-data-stream,,,,,
122,Heap / Priority Queue,IPO,Hard,~75min first / ~12min review,https://neetcode.io/problems/ipo,,,,,
123,Backtracking,Sum of All Subsets XOR Total,Easy,~45min first / ~5min review,https://neetcode.io/problems/sum-of-all-subset-xor-totals,,,,,
124,Backtracking,Subsets,Medium,~60min first / ~8min review,https://neetcode.io/problems/subsets,,,,,
125,Backtracking,Combination Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-target-sum,,,,,
126,Backtracking,Combination Sum II,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-target-sum-ii,,,,,
127,Backtracking,Combinations,Medium,~60min first / ~8min review,https://neetcode.io/problems/combinations,,,,,
128,Backtracking,Permutations,Medium,~60min first / ~8min review,https://neetcode.io/problems/permutations,,,,,
129,Backtracking,Subsets II,Medium,~60min first / ~8min review,https://neetcode.io/problems/subsets-ii,,,,,
130,Backtracking,Permutations II,Medium,~60min first / ~8min review,https://neetcode.io/problems/permutations-ii,,,,,
131,Backtracking,Word Search,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-for-word,,,,,
132,Backtracking,Palindrome Partitioning,Medium,~60min first / ~8min review,https://neetcode.io/problems/palindrome-partitioning,,,,,
133,Backtracking,Letter Combinations of a Phone Number,Medium,~60min first / ~8min review,https://neetcode.io/problems/combinations-of-a-phone-number,,,,,
134,Backtracking,Matchsticks to Square,Medium,~60min first / ~8min review,https://neetcode.io/problems/matchsticks-to-square,,,,,
135,Backtracking,Partition to K Equal Sum Subsets,Medium,~60min first / ~8min review,https://neetcode.io/problems/partition-to-k-equal-sum-subsets,,,,,
136,Backtracking,N Queens,Hard,~75min first / ~12min review,https://neetcode.io/problems/n-queens,,,,,
137,Backtracking,N Queens II,Hard,~75min first / ~12min review,https://neetcode.io/problems/n-queens-ii,,,,,
138,Backtracking,Word Break II,Hard,~75min first / ~12min review,https://neetcode.io/problems/word-break-ii,,,,,
139,Tries,Implement Trie Prefix Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/implement-prefix-tree,,,,,
140,Tries,Design Add and Search Words Data Structure,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-word-search-data-structure,,,,,
141,Tries,Extra Characters in a String,Medium,~60min first / ~8min review,https://neetcode.io/problems/extra-characters-in-a-string,,,,,
142,Tries,Word Search II,Hard,~75min first / ~12min review,https://neetcode.io/problems/search-for-word-ii,,,,,
143,Graphs,Island Perimeter,Easy,~45min first / ~5min review,https://neetcode.io/problems/island-perimeter,,,,,
144,Graphs,Verifying an Alien Dictionary,Easy,~45min first / ~5min review,https://neetcode.io/problems/verifying-an-alien-dictionary,,,,,
145,Graphs,Find the Town Judge,Easy,~45min first / ~5min review,https://neetcode.io/problems/find-the-town-judge,,,,,
146,Graphs,Number of Islands,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-number-of-islands,,,,,
147,Graphs,Max Area of Island,Medium,~60min first / ~8min review,https://neetcode.io/problems/max-area-of-island,,,,,
148,Graphs,Clone Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/clone-graph,,,,,
149,Graphs,Walls and Gates,Medium,~60min first / ~8min review,https://neetcode.io/problems/islands-and-treasure,,,,,
150,Graphs,Rotting Oranges,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotting-fruit,,,,,
151,Graphs,Pacific Atlantic Water Flow,Medium,~60min first / ~8min review,https://neetcode.io/problems/pacific-atlantic-water-flow,,,,,
152,Graphs,Surrounded Regions,Medium,~60min first / ~8min review,https://neetcode.io/problems/surrounded-regions,,,,,
153,Graphs,Open the Lock,Medium,~60min first / ~8min review,https://neetcode.io/problems/open-the-lock,,,,,
154,Graphs,Course Schedule,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule,,,,,
155,Graphs,Course Schedule II,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule-ii,,,,,
156,Graphs,Graph Valid Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-tree,,,,,
157,Graphs,Course Schedule IV,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule-iv,,,,,
158,Graphs,Number of Connected Components in an Undirected Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-connected-components,,,,,
159,Graphs,Redundant Connection,Medium,~60min first / ~8min review,https://neetcode.io/problems/redundant-connection,,,,,
160,Graphs,Accounts Merge,Medium,~60min first / ~8min review,https://neetcode.io/problems/accounts-merge,,,,,
161,Graphs,Evaluate Division,Medium,~60min first / ~8min review,https://neetcode.io/problems/evaluate-division,,,,,
162,Graphs,Minimum Height Trees,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-height-trees,,,,,
163,Graphs,Word Ladder,Hard,~75min first / ~12min review,https://neetcode.io/problems/word-ladder,,,,,
164,Advanced Graphs,Path with Minimum Effort,Medium,~60min first / ~8min review,https://neetcode.io/problems/path-with-minimum-effort,,,,,
165,Advanced Graphs,Network Delay Time,Medium,~60min first / ~8min review,https://neetcode.io/problems/network-delay-time,,,,,
166,Advanced Graphs,Reconstruct Itinerary,Hard,~75min first / ~12min review,https://neetcode.io/problems/reconstruct-flight-path,,,,,
167,Advanced Graphs,Min Cost to Connect All Points,Medium,~60min first / ~8min review,https://neetcode.io/problems/min-cost-to-connect-points,,,,,
168,Advanced Graphs,Swim in Rising Water,Hard,~75min first / ~12min review,https://neetcode.io/problems/swim-in-rising-water,,,,,
169,Advanced Graphs,Alien Dictionary,Hard,~75min first / ~12min review,https://neetcode.io/problems/foreign-dictionary,,,,,
170,Advanced Graphs,Cheapest Flights Within K Stops,Medium,~60min first / ~8min review,https://neetcode.io/problems/cheapest-flight-path,,,,,
171,Advanced Graphs,Find Critical and Pseudo Critical Edges in Minimum Spanning Tree,Hard,~75min first / ~12min review,https://neetcode.io/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,,,,,
172,Advanced Graphs,Build a Matrix with Conditions,Hard,~75min first / ~12min review,https://neetcode.io/problems/build-a-matrix-with-conditions,,,,,
173,Advanced Graphs,Greatest Common Divisor Traversal,Hard,~75min first / ~12min review,https://neetcode.io/problems/greatest-common-divisor-traversal,,,,,
174,1-D Dynamic Programming,Climbing Stairs,Easy,~45min first / ~5min review,https://neetcode.io/problems/climbing-stairs,,,,,
175,1-D Dynamic Programming,Min Cost Climbing Stairs,Easy,~45min first / ~5min review,https://neetcode.io/problems/min-cost-climbing-stairs,,,,,
176,1-D Dynamic Programming,N-th Tribonacci Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/n-th-tribonacci-number,,,,,
177,1-D Dynamic Programming,House Robber,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber,,,,,
178,1-D Dynamic Programming,House Robber II,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber-ii,,,,,
179,1-D Dynamic Programming,Longest Palindromic Substring,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-palindromic-substring,,,,,
180,1-D Dynamic Programming,Palindromic Substrings,Medium,~60min first / ~8min review,https://neetcode.io/problems/palindromic-substrings,,,,,
181,1-D Dynamic Programming,Decode Ways,Medium,~60min first / ~8min review,https://neetcode.io/problems/decode-ways,,,,,
182,1-D Dynamic Programming,Coin Change,Medium,~60min first / ~8min review,https://neetcode.io/problems/coin-change,,,,,
183,1-D Dynamic Programming,Maximum Product Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-product-subarray,,,,,
184,1-D Dynamic Programming,Word Break,Medium,~60min first / ~8min review,https://neetcode.io/problems/word-break,,,,,
185,1-D Dynamic Programming,Longest Increasing Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-increasing-subsequence,,,,,
186,1-D Dynamic Programming,Partition Equal Subset Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/partition-equal-subset-sum,,,,,
187,1-D Dynamic Programming,Combination Sum IV,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-sum-iv,,,,,
188,1-D Dynamic Programming,Perfect Squares,Medium,~60min first / ~8min review,https://neetcode.io/problems/perfect-squares,,,,,
189,1-D Dynamic Programming,Integer Break,Medium,~60min first / ~8min review,https://neetcode.io/problems/integer-break,,,,,
190,1-D Dynamic Programming,Stone Game III,Hard,~75min first / ~12min review,https://neetcode.io/problems/stone-game-iii,,,,,
191,2-D Dynamic Programming,Unique Paths,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-paths,,,,,
192,2-D Dynamic Programming,Unique Paths II,Medium,~60min first / ~8min review,https://neetcode.io/problems/unique-paths-ii,,,,,
193,2-D Dynamic Programming,Minimum Path Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-path-sum,,,,,
194,2-D Dynamic Programming,Longest Common Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-common-subsequence,,,,,
195,2-D Dynamic Programming,Last Stone Weight II,Medium,~60min first / ~8min review,https://neetcode.io/problems/last-stone-weight-ii,,,,,
196,2-D Dynamic Programming,Best Time to Buy and Sell Stock with Cooldown,Medium,~60min first / ~8min review,https://neetcode.io/problems/buy-and-sell-crypto-with-cooldown,,,,,
197,2-D Dynamic Programming,Coin Change II,Medium,~60min first / ~8min review,https://neetcode.io/problems/coin-change-ii,,,,,
198,2-D Dynamic Programming,Target Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/target-sum,,,,,
199,2-D Dynamic Programming,Interleaving String,Medium,~60min first / ~8min review,https://neetcode.io/problems/interleaving-string,,,,,
200,2-D Dynamic Programming,Stone Game,Medium,~60min first / ~8min review,https://neetcode.io/problems/stone-game,,,,,
201,2-D Dynamic Programming,Stone Game II,Medium,~60min first / ~8min review,https://neetcode.io/problems/stone-game-ii,,,,,
202,2-D Dynamic Programming,Longest Increasing Path in a Matrix,Hard,~75min first / ~12min review,https://neetcode.io/problems/longest-increasing-path-in-matrix,,,,,
203,2-D Dynamic Programming,Distinct Subsequences,Hard,~75min first / ~12min review,https://neetcode.io/problems/count-subsequences,,,,,
204,2-D Dynamic Programming,Edit Distance,Medium,~60min first / ~8min review,https://neetcode.io/problems/edit-distance,,,,,
205,2-D Dynamic Programming,Burst Balloons,Hard,~75min first / ~12min review,https://neetcode.io/problems/burst-balloons,,,,,
206,2-D Dynamic Programming,Regular Expression Matching,Hard,~75min first / ~12min review,https://neetcode.io/problems/regular-expression-matching,,,,,
207,Greedy,Lemonade Change,Easy,~45min first / ~5min review,https://neetcode.io/problems/lemonade-change,,,,,
208,Greedy,Maximum Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-subarray,,,,,
209,Greedy,Maximum Sum Circular Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-sum-circular-subarray,,,,,
210,Greedy,Longest Turbulent Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-turbulent-subarray,,,,,
211,Greedy,Jump Game,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game,,,,,
212,Greedy,Jump Game II,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game-ii,,,,,
213,Greedy,Jump Game VII,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game-vii,,,,,
214,Greedy,Gas Station,Medium,~60min first / ~8min review,https://neetcode.io/problems/gas-station,,,,,
215,Greedy,Hand of Straights,Medium,~60min first / ~8min review,https://neetcode.io/problems/hand-of-straights,,,,,
216,Greedy,Dota2 Senate,Medium,~60min first / ~8min review,https://neetcode.io/problems/dota2-senate,,,,,
217,Greedy,Merge Triplets to Form Target Triplet,Medium,~60min first / ~8min review,https://neetcode.io/problems/merge-triplets-to-form-target,,,,,
218,Greedy,Partition Labels,Medium,~60min first / ~8min review,https://neetcode.io/problems/partition-labels,,,,,
219,Greedy,Valid Parenthesis String,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-parenthesis-string,,,,,
220,Greedy,Candy,Hard,~75min first / ~12min review,https://neetcode.io/problems/candy,,,,,
221,Intervals,Insert Interval,Medium,~60min first / ~8min review,https://neetcode.io/problems/insert-new-interval,,,,,
222,Intervals,Merge Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/merge-intervals,,,,,
223,Intervals,Non Overlapping Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/non-overlapping-intervals,,,,,
224,Intervals,Meeting Rooms,Easy,~45min first / ~5min review,https://neetcode.io/problems/meeting-schedule,,,,,
225,Intervals,Meeting Rooms II,Medium,~60min first / ~8min review,https://neetcode.io/problems/meeting-schedule-ii,,,,,
226,Intervals,Meeting Rooms III,Hard,~75min first / ~12min review,https://neetcode.io/problems/meeting-rooms-iii,,,,,
